WAFER_ID,STAGE,AVG_REMOVAL_RATE
-4224160600,A,61.6548
-4224160584,B,75.86415
-4224160580,B,71.907
-4113511818,A,65.0223
-4113511814,A,58.27905
-4113511780,A,61.04565
-2697400536,B,69.83865
-873170248,A,55.66965
371447024,A,149.1309
371447028,A,152.04915
371447036,A,151.70175
-4224160694,A,57.86655
-4224160690,A,57.8484
-4224160600,B,61.18935
-4224160592,B,60.39825
-4113511808,A,53.64735
-4113511796,A,59.1954
-4113511792,A,59.8572
-4113511756,A,55.60095
-4113511752,A,56.95725
-4113511748,A,56.09865
-4111511820,A,54.59835
-2697400532,B,64.45425
-875170052,B,65.91045
-873170272,A,55.08765
-873170256,B,58.8924
-4226160424,A,63.24495
-4224160702,B,65.30385
-4224160694,B,65.64675
-4224160690,B,66.4284
-4224160650,A,61.0698
-4224160646,A,62.62545
-4113511826,A,62.3022
-4113511818,B,64.29195
-4113511814,B,67.5714
-4113511808,B,69.23745
-4113511792,B,66.486
-4111511824,A,64.21455
-875170112,B,63.42225
-873170366,A,59.68785
-873170354,A,60.59415
-873170346,A,63.01095
-873170342,B,63.5892
-873170338,A,61.75965
-873170318,A,64.5318
-873170272,B,64.89795
-873170248,B,63.10665
-873170244,B,68.45265
329446692,A,147.8967
329446708,A,151.45845
329446712,A,147.66225
371447032,A,149.99265
373446778,A,148.7994
-4228160600,A,62.05515
-4228160596,A,61.1604
-4228160580,A,58.3518
-4226160424,B,64.1814
-4226160416,A,57.9618
-4226160396,A,61.22265
-4224160662,A,64.35705
-4224160654,A,60.3432
-4113511826,B,64.34145
-4113511822,B,69.0819
-4113511804,B,72.5376
-4113511796,B,71.1123
-4113511784,B,74.37165
-4113511764,B,60.0153
-4113511756,B,78.70095
-4113511752,B,64.08075
-4113511748,B,71.89545
-4111511824,B,63.04155
-4111511820,B,65.45685
-873170366,B,59.37135
-873170354,B,65.79675
-873170318,B,66.2457
-873170306,A,60.16635
329446704,A,147.94095
329446850,A,148.9476
329446858,A,148.55745
329446874,A,149.9172
-4228160690,A,64.521
-4228160604,A,60.6567
-4228160600,B,72.4548
-4228160596,B,71.0739
-4228160580,B,73.3764
-4226160416,B,72.28245
-4226160408,B,75.1281
-4226160404,B,71.91825
-4226160396,B,77.4597
-4224160662,B,69.36975
-4224160650,B,65.64225
-4113511800,B,67.19175
-879170270,A,60.4995
-879170254,A,66.07485
-873170362,B,69.61065
-873170334,A,60.5967
-873170306,B,70.986
329446866,A,145.78785
329446870,A,147.02025
329446878,A,148.90305
329446902,A,147.288
3834719080,A,64.87095
-4228160702,A,67.42425
-4228160690,B,68.48055
-4228160682,A,70.0665
-4228160678,A,66.02895
-4228160608,B,72.48105
-879170112,A,65.77155
-879170108,A,68.5827
-879170100,A,65.36535
-879170096,A,64.4553
-879170092,A,71.59845
-879170088,A,66.2058
-879170072,A,71.253
329446854,A,147.8196
2717292858,A,66.2304
-4230160598,A,68.8818
-4228160686,A,72.37185
-4228160670,A,74.21805
-4228160662,A,72.79755
-4228160642,A,78.33675
2717292822,A,72.0921
2717292834,A,70.43655
2717292838,A,70.90125
2717292862,A,69.18045
-879170258,B,77.03805
-879170104,A,72.73455
-879170100,B,72.7671
327446710,A,148.0974
327446714,A,140.7813
327446718,A,146.526
329446886,A,147.83265
329446898,A,145.96965
329446906,A,148.7034
